ID ,Name,Province,Regency,Category,Price,Rating,Latitude,Longitude,UMKM,Description,History 
1,Masjid Raya Labui,Aceh,Pidie,Religious,0,4.8,5.363419523,95.93769157,Pasar Simpang 4 Labui,"Masjid Raya Labui atau yang dulu dikenal dengan Masjid Po Teumeureuhom merupakan masjid tertua di Kabupaten Pidie, berdiri atas gagasan dari Sultan Iskandar Muda dan memiliki keindahan arsitektur bangunan serta peninggalan bersejarah berupa mimbar dan tongkat Po Teumeureuhom.","Masjid Po Teumeureuhom atau Masjid Labui adalah sebuah masjid yang terletak di Kabupaten Pidie, Aceh. Masjid Kuno Labui didirikan pada masa pemerintahan Sultan Iskandar Muda. Masjid ini pernah direnovasi pada tahun 1916 tanpa mengubah denah asli oleh Uleebalang Pidie, yaitu Tengku Raja Kuala Usman."
2,Danau Aek Natonang,North Sumatra,Samosir,Nature,"10,000",4.8,2.563718424,98.88351317,Camping Ground Aek Natonang,"Aek Natonang adalah danau di atas Pulau Samosir yang terletak di Danau Toba, sehingga dijuluki danau di atas danau. Dari kawasan wisata Tuktuk Siadong, waktu tempuhnya sekitar 40 menit melalui jalan lingkar Samosir.",-
3,Masjid Tuo Pincuran Gadang,West Sumatera,Agam,Religious,0,4.8,-0.279544212,100.2920607,Kolam Mandi Pincuran Gadang,"Masjid Pincuran Gadang adalah masjid yang berada di sebuah lembah bernama Pincuran Gadang di Kecamatan Matua, Kabupaten Agam, Sumatera Barat.Masjid ini ditetapkan sebagai  situs cagar budaya.","Masjid Tuo Pincuran Gadang adalah Mesjid yang didirikan oleh Tuanku Alam Putiah (lareh pertama Matur) pada tahun 1885. Disini terdapat peninggalan berupa 20 lubang pertahanan atau yang disebut masyarakat setempat dengan ""Lubang Duo Puluah""."
4,Danau Gunung Tujuh,Jambi,Kerinci,Nature,"20,000",4.8,-1.701975405,101.3888789,Jasa Pemandu Gunung Tujuh,"Danau Gunung Tujuh merupakan danau yang terletak di desa Pelompek, kabupaten Kerinci, Jambi. Danau ini berada di kawasan Gunung Tujuh, sebuah gunung yang berada tepat di belakang Gunung Kerinci. Gunung Tujuh masih termasuk dalam wilayah Taman Nasional Kerinci Seblat yang merupakan Situs Warisan Dunia UNESCO.","Danau Gunung Tujuh juga merupakan salah satu Danau tertinggi di Indonesia, bahkan danau tertinggi di Asia Tenggara. Danau ini berada di ketinggian 1.950 meter di atas permukaan laut dan merupakan danau yang berada diketinggian nomor dua di Indonesia setelah 13 Danau-danau kecil yang terdapat di Gunung Talamau Sumatera Barat di ketinggian 2750 m dpl."
5,Wisata Alam Karai Desa Antutan,North Kalimantan,Tanjung Selor,Nature,"10,000",4.6,2.729815483,117.2888941,Penyewaan Gazebo,Wisata Alam Karai menawarkan kesejukan dan kesegaran air yang mengalir. Apalagi Wisata Alam  Karai memiliki air terjun mini dengan ketinggian sekitar 6 meter dan kedalaman sekitar 150 meter. Tentunya air terjun mini ini sangat jernih dan seger jadi mampu menghipnotis pengunjung untuk menyelaminnya.,-
6,Kampung Wisata Taman Sari,D.I Yogyakarta,Yogyakarta,History,"15,000",4.6,-7.809840619,110.3595486,Nrithik Craft Store,Bekas taman kerajaan dari abad ke-18 dengan kompleks pemandian bertingkat dan arsitektur yang indah.,"Kebun ini dibangun pada zaman Sultan Hamengku Buwono I (HB I) pada tahun 1758-1765/9. Awalnya, taman yang mendapat sebutan ""The Fragrant Garden"" ini memiliki luas lebih dari 10 hektare dengan sekitar 57 bangunan baik berupa gedung, kolam pemandian, jembatan gantung, kanal air, maupun danau buatan beserta pulau buatan dan lorong bawah air. "
7,Tebing Karaton,West Java,Bandung,Nature,"17,000",4.5,-6.833407838,107.6646022,Camping Ground Tebing Karaton,"Tebing Karaton merupakan destinasi wisata terkenal di Bandung yang berada dalam kawasan Taman Hutan Raya (Tahura) Djuanda.  Wisata tebing yang berada di ketinggian 1200 mdpl ini, menawarkan pemandangan  hutan pinus, seperti dikutip dari laman Tahura Bandung. Dari puncak tebing, pengunjung bisa menyaksikan hamparan Kota Bandung.",
8,Candi Gedongsongo,Central Java,Semarang,History,"15,000",4.6,-7.209744008,110.3422048,Warung sate kelinci bu yem,"Candi Gedongsongo adalah nama sebuah kompleks bangunan candi peninggalan budaya Hindu yang terletak di desa Candi, Kecamatan Bandungan, Kabupaten Semarang, Jawa Tengah, Indonesia tepatnya di lereng Gunung Ungaran. Di kompleks candi ini terdapat sembilan buah candi.",Candi ini ditemukan oleh Thomas Stanford Raffles pada tahun 1804 dan merupakan peninggalan budaya Hindu dari zaman Wangsa Syailendra abad ke-8 (sekitar 701-800 masehi).Candi ini memiliki persamaan dengan kompleks Candi Dieng di Wonosobo. Candi ini terletak pada ketinggian sekitar 1.200 m di atas permukaan laut sehingga suhu udara di sini cukup dingin (berkisar antara 19-27 °C)
9,Danau Paisu Pok Luk Panenteng,Central Sulawesi,Banggai,Nature,"10,000",4.8,-1.217237034,122.9732836,Penyewaan Kapal Dan Alat snorkeling,"Paisu pok atau Danau Paisu pok adalah danau yang berada di Desa Luk Panenteng, Kecamatan Bulagi Utara, Kabupaten Banggai Kepulauan. Danau Paisu pok memeiliki warna yang cukup transparan, sehingga bagian dasar pada danau cukup terlihat dengan jelas.",-
10,Air Terjun Piala,Central Sulawesi,Banggai,Nature,0,4.7,-0.94973479,122.7704171,Warung Air Terjun Piala,"Air Terjun Piala adalah air terjun bertingkat dengan beberapa tingkatannya menyerupai tangga. Letak Air Terjun Piala berada di dalam hutan dengan pohonnya yang cukup rapat, suasana sekitar terasa asri dan sejuk. Kicauan burung khas Sulawesi terdengar di segala penjuru, sebagai pertanda bahwa habitat di kawasan tersebut masih terjaga.Air Terjun Piala memiliki aliran air yang cukup deras yang berasal dari mata air di atas air terjun.Airnya berwarna jernih kehijauan dengan batuan di bawahnya berwarna putih.",-
